 Id, Vd
7.29E-09,0.062
7.63E-09,0.064
8.10E-09,0.066
8.67E-09,0.068
9.20E-09,0.07
9.73E-09,0.072
1.03E-08,0.074
1.08E-08,0.076
1.15E-08,0.078
1.21E-08,0.08
1.29E-08,0.082
1.34E-08,0.084
1.42E-08,0.086
1.51E-08,0.088
1.58E-08,0.09
1.68E-08,0.092
1.74E-08,0.094
1.83E-08,0.096
1.93E-08,0.098
2.03E-08,0.1
2.15E-08,0.102
2.24E-08,0.104
2.35E-08,0.106
2.49E-08,0.108
2.58E-08,0.11
2.74E-08,0.112
2.87E-08,0.114
3.01E-08,0.116
3.11E-08,0.118
3.30E-08,0.12
3.46E-08,0.122
3.59E-08,0.124
3.79E-08,0.126
3.97E-08,0.128
4.11E-08,0.13
4.29E-08,0.132
4.49E-08,0.134
4.69E-08,0.136
4.91E-08,0.138
5.18E-08,0.14
5.41E-08,0.142
5.66E-08,0.144
5.92E-08,0.146
6.17E-08,0.148
6.45E-08,0.15
6.67E-08,0.152
6.96E-08,0.154
7.34E-08,0.156
7.67E-08,0.158
7.92E-08,0.16
8.35E-08,0.162
8.71E-08,0.164
9.00E-08,0.166
9.49E-08,0.168
9.78E-08,0.17
1.02E-07,0.172
1.06E-07,0.174
1.11E-07,0.176
1.16E-07,0.178
1.20E-07,0.1802
1.28E-07,0.1818
1.31E-07,0.1842
1.36E-07,0.186
1.42E-07,0.1882
1.50E-07,0.19
1.56E-07,0.1922
1.60E-07,0.194
1.66E-07,0.1958
1.76E-07,0.1978
1.83E-07,0.1998
1.88E-07,0.202
1.94E-07,0.2042
2.06E-07,0.206
2.14E-07,0.208
2.25E-07,0.21
2.29E-07,0.2118
2.39E-07,0.2142
2.51E-07,0.216
2.63E-07,0.218
2.70E-07,0.22
2.82E-07,0.222
2.94E-07,0.224
3.07E-07,0.2262
3.24E-07,0.2282
3.32E-07,0.2298
3.50E-07,0.232
3.67E-07,0.234
3.80E-07,0.2362
3.92E-07,0.238
4.16E-07,0.2398
4.34E-07,0.2422
4.57E-07,0.2442
4.71E-07,0.2454
4.81E-07,0.2478
4.97E-07,0.2498
5.18E-07,0.252
5.45E-07,0.254
5.62E-07,0.256
5.75E-07,0.2582
6.08E-07,0.26
6.34E-07,0.2622
6.63E-07,0.2642
6.80E-07,0.2658
7.16E-07,0.268
7.48E-07,0.2696
7.75E-07,0.2718
8.01E-07,0.274
8.31E-07,0.2762
8.67E-07,0.278
9.14E-07,0.2802
9.51E-07,0.282
9.77E-07,0.284
1.02E-06,0.2862
1.07E-06,0.2878
1.13E-06,0.2898
1.15E-06,0.2922
1.15E-06,0.2918
1.28E-06,0.2962
1.33E-06,0.2978
1.39E-06,0.3002
1.45E-06,0.3018
1.51E-06,0.3042
1.57E-06,0.3062
1.60E-06,0.3078
1.68E-06,0.3102
1.75E-06,0.3122
1.85E-06,0.314
1.94E-06,0.3162
2.00E-06,0.318
2.10E-06,0.3202
2.16E-06,0.322
2.23E-06,0.324
2.34E-06,0.326
2.43E-06,0.3278
2.56E-06,0.3304
2.64E-06,0.3318
2.75E-06,0.3342
2.85E-06,0.336
2.97E-06,0.338
3.13E-06,0.3402
3.26E-06,0.342
3.40E-06,0.344
3.53E-06,0.346
3.66E-06,0.3478
3.82E-06,0.3496
3.99E-06,0.3522
4.20E-06,0.354
4.31E-06,0.356
4.42E-06,0.358
4.67E-06,0.3598
4.89E-06,0.362
5.12E-06,0.364
5.31E-06,0.366
5.56E-06,0.3682
5.70E-06,0.3702
5.93E-06,0.372
6.19E-06,0.374
6.52E-06,0.3758
6.81E-06,0.3782
7.07E-06,0.38
7.27E-06,0.3818
7.59E-06,0.384
8.03E-06,0.386
8.35E-06,0.3886
8.61E-06,0.39
8.88E-06,0.392
9.36E-06,0.3938
9.68E-06,0.396
1.01E-05,0.3978
1.06E-05,0.4002
1.11E-05,0.4022
1.14E-05,0.404
1.15E-05,0.4042
1.27E-05,0.408
1.31E-05,0.4098
1.35E-05,0.4122
1.41E-05,0.414
1.47E-05,0.4162
1.53E-05,0.418
1.61E-05,0.42
1.70E-05,0.4222
1.75E-05,0.424
1.80E-05,0.4262
1.87E-05,0.4278
1.99E-05,0.4304
2.08E-05,0.432
2.17E-05,0.4342
2.29E-05,0.4362
2.33E-05,0.438
2.42E-05,0.44
2.55E-05,0.4418
2.66E-05,0.444
2.79E-05,0.4462
2.92E-05,0.4482
3.01E-05,0.4502
3.16E-05,0.4522
3.29E-05,0.454
3.45E-05,0.456
3.68E-05,0.4582
3.84E-05,0.46
4.06E-05,0.462
4.22E-05,0.4642
4.28E-05,0.4658
4.44E-05,0.468
4.63E-05,0.4696
4.85E-05,0.4722
4.99E-05,0.474
5.22E-05,0.476
5.41E-05,0.4774
5.77E-05,0.4796
5.97E-05,0.482
6.22E-05,0.4842
6.41E-05,0.4864
6.71E-05,0.4874
7.08E-05,0.49
7.41E-05,0.4916
7.67E-05,0.4944
8.02E-05,0.4962
8.31E-05,0.4976
8.67E-05,0.4998
9.02E-05,0.5016
9.48E-05,0.5038
9.88E-05,0.5058
0.000104133,0.5078
0.000107939,0.5098
0.000111231,0.5112
0.000115016,0.5134
0.000125228,0.5156
0.000129244,0.5178
0.000133257,0.52
0.000137249,0.522
0.000145855,0.524
0.000153606,0.526
0.000158367,0.528
0.000166878,0.53
0.000169064,0.532
0.00017863,0.5342
0.000189109,0.5362
0.000196784,0.5384
0.000207131,0.54
0.000212316,0.542
0.000222305,0.5438
0.000229284,0.5458
0.000241084,0.548
0.000254488,0.5502
0.000266632,0.552
0.000278366,0.554
0.000289697,0.556
0.000302607,0.5578
0.000318016,0.5598
0.000335317,0.562
0.000358017,0.5642
0.000366265,0.5662
0.000380952,0.5682
0.000395276,0.5696
0.000408283,0.572
0.000424378,0.5742
0.000440984,0.576
0.000457945,0.5782
0.00047286,0.58
0.000504582,0.582
0.000525831,0.5842
0.000547646,0.5858
0.000569441,0.5882
0.000589074,0.59
0.000615032,0.5918
0.000642471,0.5938
0.000677893,0.5958
0.000708045,0.5978
0.000739041,0.5998
0.000764262,0.6018
0.000789893,0.6038
0.000824606,0.6062
0.000858297,0.6078
0.000903271,0.6096
0.000945886,0.6118
0.000987223,0.614
0.001021441,0.6158
0.001054037,0.6174
0.001108343,0.6194
0.001150016,0.622
0.00120164,0.6242
0.00124209,0.626
0.00130413,0.6278
0.00135886,0.63
0.00143742,0.6322
0.0014713,0.6344
0.00153632,0.636
0.00158729,0.6382
0.00165677,0.6398
0.00172972,0.642
0.00180212,0.644
0.00190521,0.6462
0.00196152,0.648
0.00203193,0.65
0.0020967,0.6522
0.0021817,0.6542
0.00229081,0.656
0.00239284,0.6582
0.00247472,0.6598
0.00254401,0.6618
0.00267485,0.664
0.00282195,0.666
0.00293683,0.6682
0.00306173,0.6704
0.00313515,0.672
0.00327099,0.6738
0.00340631,0.676
0.00354134,0.6778
0.00362906,0.6798
0.00368509,0.6822
0.00382451,0.6838
0.00391937,0.6862
0.00408485,0.6878
0.00422867,0.6898
0.00439513,0.692
0.00458081,0.694
0.00473781,0.6958
0.0048374,0.698
0.004986,0.7
0.00519911,0.7018
0.00539388,0.7038
0.0055776,0.7058
0.00573771,0.708
0.00590955,0.71
0.00608817,0.712
0.00621767,0.7142
0.00652158,0.7158
0.00676163,0.7178
0.00696191,0.7198
0.00706807,0.722
0.00729571,0.7238
0.00753327,0.726
0.00777264,0.7284
0.00800039,0.7296
0.00800437,0.73
0.0079999,0.7298
0.00799992,0.7304
0.00799989,0.73
0.00799996,0.7302
0.00799991,0.7302
0.00800002,0.73
0.00800003,0.7296
0.00800009,0.7302
0.008,0.7294
0.00800001,0.73
0.00800003,0.73
0.00800001,0.7298
0.00799997,0.7294
0.00800001,0.7304
0.00799984,0.7302
0.008,0.7308
0.0080001,0.7302
0.00799993,0.7292
0.0080002,0.7296
0.00800018,0.7298
0.00800001,0.7296
0.00799996,0.73
0.00799999,0.7294
0.00799996,0.7296
0.00799989,0.729
0.0080001,0.7296
0.00800001,0.7302
0.00800007,0.7302
0.008,0.7302
0.00800006,0.7296
0.00800002,0.7294
0.00799995,0.7296
0.00799996,0.7304
0.00800005,0.73
0.00799999,0.7298
0.008,0.7304
