date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:18	45507/45507	---M--	200	added ('OK')	application/pdf	etag:%220d39b691d2cf1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee123/2013-14/EEE123_2014_Feedback.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee123/2013-14/EEE123_2014_Feedback.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee123/eee123.html)
18:50:06	296698/296698	---M--	200	added ('OK')	application/pdf	etag:%220962d296577d01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee123/2014-15/EEE123_Exam_Paper_14-15.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee123/2014-15/EEE123_Exam_Paper_14-15.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee123/eee123.html)
18:50:29	679900/679900	---M--	200	added ('OK')	application/pdf	etag:%2280f49a091d2cf1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee123/EEE123_2014_Solutions.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee123/EEE123_2014_Solutions.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee123/eee123.html)
18:50:36	35337/35337	---M--	200	added ('OK')	application/pdf	etag:%22061616bf16bd21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee123/2014-15/Feedback_1415_JKM.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee123/2014-15/Feedback_1415_JKM.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee123/eee123.html)
18:51:17	224168/224168	---M--	200	added ('OK')	application/pdf	etag:%220cbcb7457e2d11:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee123/2015-16/EEE123-2015-16.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee123/2015-16/EEE123-2015-16.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee123/eee123.html)
18:52:23	381522/381522	---M--	200	added ('OK')	application/pdf	etag:%22061616bf16bd21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee123/2015-16/EEE123_15_16_Solutions.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee123/2015-16/EEE123_15_16_Solutions.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee123/eee123.html)
18:52:35	50043/50043	---M--	200	added ('OK')	application/pdf	etag:%22061616bf16bd21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee123/2015-16/Feedback_EEE123_1516.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee123/2015-16/Feedback_EEE123_1516.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee123/eee123.html)
18:52:57	1058428/1058428	---M--	200	added ('OK')	application/pdf	etag:%2203f37f53fbed01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee123/2014-15/EEE123_Q1-6_Solutions_14-15.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee123/2014-15/EEE123_Q1-6_Solutions_14-15.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee123/eee123.html)
18:53:15	81303/81303	---M--	200	added ('OK')	application/pdf	etag:%227ff934cf361cd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/distribution1_notes.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/distribution1_notes.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
18:55:46	1201386/1201386	---M--	200	added ('OK')	application/pdf	etag:%221f6a8eba361cd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/distribution1.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/distribution1.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
18:55:51	941482/941482	---M--	200	added ('OK')	application/pdf	etag:%22c1bc753085ecd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/distribution2.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/distribution2.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
18:56:05	82764/82764	---M--	200	added ('OK')	application/pdf	etag:%2294846d4085ecd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/distribution2_notes.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/distribution2_notes.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
18:56:22	81823/81823	---M--	200	added ('OK')	application/pdf	etag:%22e74931cb7419cd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/distribution3_notes.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/distribution3_notes.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
18:57:00	427975/427975	---M--	200	added ('OK')	application/pdf	etag:%22e4b66abc7419cd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/distribution3.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/distribution3.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
19:02:59	2226954/2226954	---M--	200	added ('OK')	application/pdf	etag:%22dd3ebf5ab2ecd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/EVs_DAS.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/EVs_DAS.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
19:03:32	2665087/2665087	---M--	200	added ('OK')	application/pdf	etag:%222f05f938423cd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/Energy_in_the_Home-JPRD.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/Energy_in_the_Home-JPRD.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
19:03:42	59399/59399	---M--	200	added ('OK')	application/pdf	etag:%22d39e728c2537cd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/Tutorial_with_Solutions-JPRD.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/Tutorial_with_Solutions-JPRD.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
19:04:07	147876/147876	---M--	200	added ('OK')	application/pdf	etag:%22f32eeaa02537cd1:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee124/Tutorial_with_solutions-GW.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee124/Tutorial_with_solutions-GW.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee124/eee124.html)
